Pos,Race No,Time,Category,Cat Pos,Gender,Gen Pos
132,1868,00:40:53,Under 11,10,M,58
133,1867,00:40:53,30-39,14,M,59
134,2011,00:41:10,60-69,2,F,75
135,1801,00:41:24,40-49,13,F,76
136,1802,00:41:25,14-15,3,F,77
137,1989,00:41:25,12-13,2,F,78
138,1812,00:41:40,Under 11,5,F,79
139,1832,00:41:40,18-29,16,F,80
140,1991,00:42:08,50-59,8,F,81
141,1876,00:42:12,40-49,14,F,82
142,1877,00:42:12,16-17,3,F,83
143,1911,00:42:21,60-69,3,F,84
144,1913,00:42:21,30-39,27,F,85
145,1990,00:42:25,50-59,9,F,86
146,1981,00:42:31,30-39,15,M,60
147,1968,00:42:31,18-29,14,M,61
148,1803,00:42:51,40-49,15,F,87
149,1850,00:42:56,18-29,17,F,88
150,1804,00:42:56,18-29,18,F,89
151,1815,00:43:01,30-39,16,M,62
152,1856,00:43:31,30-39,28,F,90
153,1929,00:43:37,Under 11,6,F,91
154,1962,00:44:12,18-29,15,M,63
155,1894,00:44:32,30-39,17,M,64
156,1961,00:44:36,18-29,19,F,92
157,1866,00:44:40,50-59,10,F,93
158,1903,00:44:51,50-59,11,F,94
159,1889,00:44:51,30-39,29,F,95
160,1927,00:45:09,12-13,2,M,65
161,1931,00:46:10,18-29,20,F,96
162,1904,00:47:23,40-49,16,F,97
163,1886,00:47:28,18-29,21,F,98
164,1822,00:48:08,50-59,7,M,66
165,1883,00:48:23,40-49,17,F,99
166,1808,00:48:58,70+,1,M,67
167,1995,00:49:59,60-69,4,F,100
168,2006,00:50:17,40-49,18,F,101
169,1969,00:50:17,50-59,12,F,102
170,1846,00:50:18,60-69,5,F,103
171,1928,00:50:54,Under 11,11,M,68
172,1855,00:50:55,50-59,13,F,104
173,1854,00:50:56,18-29,22,F,105
174,1827,00:51:06,30-39,30,F,106
175,1852,00:51:06,18-29,23,F,107
176,1971,00:51:37,14-15,4,F,108
177,1972,00:51:42,40-49,19,F,109
178,1821,00:51:54,18-29,24,F,110
179,1925,00:52:30,40-49,10,M,69
180,1887,00:53:20,30-39,18,M,70
181,1970,00:54:59,30-39,31,F,111
182,1976,00:54:59,18-29,25,F,112
183,1979,00:54:59,18-29,16,M,71
184,1816,00:54:59,14-15,2,M,72
185,1882,01:15:57,12-13,3,M,73
186,1858,01:16:08,30-39,32,F,113
